lon,lat,count
12613750,2593250,1
12629750,2576750,1
12677750,2563750,2
12653750,2600250,1
12680250,2605750,5
12688250,2618250,1
12672250,2643250,3
12656250,2682250,2
12624250,2661250,14
12608250,2647750,5
12674750,2624750,3
12642750,2677750,3
12626750,2620250,17
12610750,2650750,1
12618750,2659250,7
12594750,2668750,1
12615750,2628750,8
12647750,2641250,1
12602250,2631250,6
12602250,2619750,6
12586250,2697750,2
12690250,2626750,1
12642250,2629250,11
12642250,2639750,24
12610250,2677750,1
12612750,2630250,192
12596750,2581250,2
12671250,2602750,1
12591250,2697250,1
12607750,2657250,1
12607750,2671250,1
12639750,2655750,12
12605250,2611750,1
12653250,2631250,2
12685250,2608250,3
12613250,2651250,6
12597250,2605250,1
12653250,2622250,1
12605250,2596250,1
12589250,2571250,3
12623750,2634250,31
12607750,2575750,1
12628250,2608750,6
12668250,2618250,3
12668250,2650750,2
12620250,2656250,1
12622750,2607250,24
12628250,2662250,3
12694750,2630750,1
12598750,2626250,1
12633250,2599750,1
12601250,2618250,2
12601250,2673750,2
12631250,2666250,4
12615250,2620250,53
12615250,2613750,45
12697750,2617750,1
12697750,2613750,1
12665750,2621750,1
12585750,2624250,2
12617750,2625250,3
12625750,2671250,1
12625750,2600250,1
12609750,2678750,7
12628250,2639250,17
12621250,2590250,2
12669250,2580250,1
12677250,2624750,1
12693250,2560250,5
12693250,2583250,2
12605250,2607250,5
12605250,2639250,2
12639750,2675250,6
12623750,2602750,6
12615750,2622250,13
12615750,2611250,35
12615750,2624250,2
12599750,2634250,8
12618250,2617750,19
12618250,2615750,40
12618250,2589250,1
12599750,2575250,1
12607750,2663250,13
12639750,2625250,2
12639750,2580250,6
12591250,2632750,5
12583250,2617250,1
12601750,2623750,13
12601750,2632250,3
12671250,2578250,1
12620250,2601250,1
12678750,2622750,2
12666250,2615250,1
12586250,2621250,1
12642250,2586250,1
12594250,2660750,2
12628750,2621750,7
12580750,2630250,1
12588750,2661250,1
12595750,2626750,1
12598250,2665750,1
12614250,2644250,1
12606250,2638250,4
12603750,2639250,2
12603750,2645250,2
12667750,2593750,1
12627750,2685750,1
12649250,2629250,8
12582750,2617250,1
12621750,2652750,2
12600250,2604750,1
12600250,2668750,9
12616250,2647250,22
12613750,2626750,59
12605750,2576750,2
12603250,2627750,3
12619250,2613750,24
12595250,2611250,3
12675250,2614750,1
12608750,2661250,22
12671250,2581750,3
12585750,2559250,5
12649750,2634750,5
12697750,2579250,1
12647250,2632750,10
12679250,2561250,1
12695250,2613750,1
12671250,2617250,2
12588750,2611250,5
12668750,2639750,2
12612750,2642750,34
12612750,2619750,37
12612750,2625750,20
12628750,2633250,4
12644750,2627750,4
12636250,2636250,14
12630750,2636750,3
12590750,2634750,1
12670750,2643250,9
12620250,2610750,51
12620250,2645750,11
12620250,2670750,37
12678750,2566750,2
12673750,2604250,2
12696750,2568250,3
12595250,2636250,5
12659250,2622250,2
12592750,2614250,4
12592750,2628750,2
12672750,2605250,1
12584750,2562250,1
12600750,2621750,1
12616750,2633250,255
12632750,2564250,1
12648750,2602750,1
12598250,2603750,1
12624250,2627250,26
12640250,2681750,2
12648250,2635250,1
12648250,2575250,1
12696250,2575250,1
12616250,2611750,71
12581750,2615250,1
12629750,2655750,1
12661750,2629750,1
12589750,2624250,3
12605750,2577750,1
12603250,2644250,1
12619250,2659250,4
12619250,2614250,5
12622750,2659250,1
12638750,2593250,5
12638750,2685250,1
12604250,2619250,5
12604250,2657250,1
12604250,2642250,25
12668250,2584250,1
12580250,2621250,2
12606750,2609750,15
12676250,2618750,1
12625750,2610750,6
12625750,2611250,9
12601750,2633750,3
12603750,2661750,21
12619750,2657250,3
12611750,2671750,1
12625250,2609250,12
12641250,2640750,5
12633250,2637250,2
12598750,2626750,2
12614750,2634750,75
12646750,2634750,1
12606250,2668750,1
12694250,2559250,9
12694250,2608750,1
12678250,2563250,2
12598250,2671250,3
12616750,2641750,103
12622250,2639750,3
12696750,2559750,2
12696750,2575250,2
12608750,2675750,1
12691250,2614750,1
12675250,2648750,6
12595250,2615750,6
12673250,2628750,2
12649250,2629750,3
12601250,2673250,1
12585250,2679750,5
12609250,2652250,1
12593250,2564250,1
12611750,2621750,10
12683750,2620250,1
12610750,2606750,4
12666750,2580750,2
12602750,2674750,5
12586750,2701750,1
12586750,2562250,1
12618750,2620250,40
12634750,2610250,6
12666750,2619250,2
12682750,2561750,2
12594750,2635250,1
12610750,2673250,1
12616250,2649250,90
12667250,2581750,2
12667250,2624250,2
12619250,2637250,8
12669750,2637750,1
12597750,2639750,2
12616250,2627750,67
12640250,2639750,1
12608250,2583750,1
12591250,2602750,1
12631250,2629250,25
12585750,2557750,1
12639250,2688250,1
12609750,2667750,1
12609750,2614250,10
12604250,2674750,2
12610250,2614250,3
12642250,2613250,1
12642250,2622250,2
12610250,2607250,1
12610250,2657750,2
12610250,2641250,18
12610250,2595750,4
12644750,2649250,4
12604750,2663250,12
12604750,2659750,3
12671250,2627750,1
12616750,2651750,10
12627750,2595750,1
12635750,2668250,1
12638250,2658250,2
12646250,2650250,1
12632750,2609750,3
12616750,2618250,4
12600750,2568750,1
12688750,2560750,2
12672750,2651750,8
12624750,2657750,4
12592750,2649750,1
12614750,2668750,3
12617250,2634250,153
12601250,2620750,1
12601250,2625750,3
12601250,2667750,3
12689250,2630750,2
12609250,2582250,1
